Protein families,count
Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family,39
Dynein heavy chain family,39
TRAFAC class OBG-HflX-like GTPase superfamily,38
Cuticular collagen family,38
WD repeat LIS1/nudF family,38
Enolase family,38
IL-10 family,38
Class IV-like SAM-binding methyltransferase superfamily,38
Turandot family,38
IL-2 family,38
TBP family,37
XK family,37
Distal-less homeobox family,37
CTL (choline transporter-like) family,37
Nucleotide pyrophosphatase/phosphodiesterase family,37
Tubulin--tyrosine ligase family,37
PRAME family,37
Anamorsin family,37
GDA1/CD39 NTPase family,36
YIP1 family,36
SLC12A transporter family,36
Apolipoprotein C2 family,36
Protease inhibitor I35 (TIMP) family,36
Eukaryotic ribosomal protein eL8 family,36
Calponin family,36
NAD(P)-dependent epimerase/dehydratase family,36
IL-4/IL-13 family,36
Glycosyltransferase 14 family,36
Bombesin/neuromedin-B/ranatensin family,36
Carnitine/choline acetyltransferase family,36
CCR4/nocturin family,36
Class-II pyridoxal-phosphate-dependent aminotransferase family,36
Venom waprin family,35
Thioredoxin family,35
FMO family,35
3-beta-HSD family,35
Secretoglobin family,35
Prefoldin subunit beta family,35
Troponin C family,35
Glycosyltransferase 11 family,35
Clp1 family,35
Ntn-hydrolase family,35
Shisa family,35
Hedgehog family,35
N-acetylmuramoyl-L-alanine amidase 2 family,35
STXBP/unc-18/SEC1 family,35
FXYD family,35
EIF-3 subunit E family,34
Transcription factor STAT family,34
CREC family,34
Queuine tRNA-ribosyltransferase family,34
Eukaryotic ribosomal protein eS21 family,34
Universal ribosomal protein uL22 family,34
Adaptor complexes large subunit family,34
HMGB family,34
Actinoporin family,34
PIH1 family,34
Disintegrin family,34
Cornifin (SPRR) family,34
DNA2/NAM7 helicase family,34
Isocitrate and isopropylmalate dehydrogenases family,33
Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family,33
Type II cytokine receptor family,33
TALE/IRO homeobox family,33
Radical SAM superfamily,33
Nectin family,33
Sterol desaturase family,33
FHIP family,33
RFX family,33
RRM NCBP2 family,33
Carbon-nitrogen hydrolase superfamily,33
CISD protein family,33
Interleukin-1 receptor family,33
CELF/BRUNOL family,33
SDHAF2 family,33
Glycosyltransferase 8 family,33
EIF-3 subunit F family,33
Tim17/Tim22/Tim23 family,33
MS4A family,32
TNFAIP8 family,32
Nematode receptor-like protein sra family,32
Importin beta family,32
PDE6D/unc-119 family,32
GatC family,32
Eukaryotic ribosomal protein eS4 family,32
NDRG family,32
Class I fructose-bisphosphate aldolase family,32
Thymosin beta family,32
TPT transporter family,32
ADIPOR family,32
Glycosyltransferase 7 family,32
Major royal jelly protein family,32
DNA polymerase type-B-like family,32
Patched family,31
LIMR family,31
Ephrin family,31
Triosephosphate isomerase family,31
Cytochrome c oxidase VIII family,31
AVIT (prokineticin) family,31
Transglutaminase superfamily,31
NARF family,31
NnrE/AIBP family,30
EGR C2H2-type zinc-finger protein family,30
DP1 family,30
NK-2 homeobox family,30
Calreticulin family,30
Somatostatin family,30
Plexin family,30
EIF-3 subunit I family,30
Endothelin/sarafotoxin family,30
ClpA/ClpB family,30
Iodothyronine deiodinase family,30
Thrombospondin family,30
Endophilin family,30
Inositol 1,30
TUB family,30
Copine family,30
Eukaryotic ribosomal protein eL15 family,30
Adaptor complexes small subunit family,30
Phosphatase 2A regulatory subunit B family,30
ATG8 family,30
AlkB family,30
IRF family,30
Complement C6/C7/C8/C9 family,30
Diacylglycerol acyltransferase family,29
ANP32 family,29
ROX family,29
Vinculin/alpha-catenin family,29
Biopterin-dependent aromatic amino acid hydroxylase family,29
Glycosyltransferase 6 family,29
Inositol monophosphatase superfamily,29
Ergtoxin family,29
Cyclic nucleotide-gated cation channel (TC 1.A.1.5) family,29
Bile acid:sodium symporter (BASS) (TC 2.A.28) family,29
POMC family,29
Profilin family,29
Importin alpha family,29
SelWTH family,29
EIF-3 subunit H family,29
Steroid 5-alpha reductase family,29
Yippee family,29
ZP domain family,29
SAA family,28
Hook family,28
Eukaryotic ribosomal protein eL18 family,28
MIF family,28
COQ4 family,28
Glycosyltransferase group 1 family,28
Apolipoprotein C4 family,28
Troponin I family,28
NOS family,28
Speedy/Ringo family,28
MOB1/phocein family,28
Exportin family,28
WD repeat WDR12/YTM1 family,28
Gamma type-C retroviral envelope protein family,28
EIF-3 subunit J family,28
WD repeat CIA1 family,28
Zyxin/ajuba family,27
TMC family,27
Corazonin family,27
Xanthine dehydrogenase family,27
Amidase family,27
MAL family,27
CDP-alcohol phosphatidyltransferase class-I family,27
Tenascin family,27
Metallophosphoesterase superfamily,27
Universal ribosomal protein uS15 family,27
GAGE family,27
Stathmin family,27
EIF-3 subunit M family,27
Transthyretin family,27
UFM1 family,27
Class-III pyridoxal-phosphate-dependent aminotransferase family,27
MAPEG family,27
EIF-3 subunit L family,27
FKBP-type PPIase family,27
FGGY kinase family,27
Myelin proteolipid protein family,26
EIF-3 subunit C family,26
CNF-like-inhibitor family,26
Alpha-casein family,26
Tryptophan 2,26
Nematode receptor-like protein srd family,26
SIX/Sine oculis homeobox family,26
UFL1 family,26
Lysyl oxidase family,26
EPO/TPO family,26
ArsA ATPase family,26
Pescadillo family,26
Syndecan proteoglycan family,26
Tektin family,26
Ribose-phosphate pyrophosphokinase family,26
Lipoxygenase family,26
OSBP family,26
WD repeat coronin family,26
Synuclein family,26
Eukaryotic ribosomal protein eL38 family,25
Eukaryotic ribosomal protein eL24 family,25
ITIH family,25
Apolipoprotein A2 family,25
Sideroflexin family,25
FAM83 family,25
LAMP family,25
Peroxisomal membrane protein PXMP2/4 family,25
CTU2/NCS2 family,25
RecA family,25
Phosphofructokinase type A (PFKA) family,25
EIF-3 subunit K family,25
Calcineurin regulatory subunit family,25
BI1 family,25
HMGN family,25
Pentraxin family,25
IMPDH/GMPR family,25
Anion channel-forming bestrophin (TC 1.A.46) family,25
ENY2 family,25
Flavoprotein pyridine nucleotide cytochrome reductase family,25
Chloride channel CLIC family,25
CAF1 family,25
EF-1-beta/EF-1-delta family,25
EIF-3 subunit A family,25
Eukaryotic mitochondrial porin family,25
Eukaryotic ribosomal protein eL32 family,25
Msh homeobox family,25
WD repeat BOP1/ERB1 family,24
SNAP-25 family,24
WD repeat WDR48 family,24
CCN family,24
Eukaryotic ribosomal protein P1/P2 family,24
Universal ribosomal protein uS3 family,24
Acyl-CoA oxidase family,24
P2X receptor family,24
DRAM/TMEM150 family,24
Hexokinase family,24
Nematode receptor-like protein srg family,24
